CH1,CH2,CH3,CH4
5.71E-03,1.74E-03,-1.11E-01,-3.32E-03
7.33E-03,3.18E-03,-1.13E-01,-3.78E-03
7.52E-03,4.48E-03,-1.12E-01,-2.87E-03
6.05E-03,3.90E-03,-1.10E-01,-1.85E-03
5.00E-03,2.21E-03,-1.09E-01,-2.22E-03
5.74E-03,1.78E-03,-1.11E-01,-3.32E-03
7.36E-03,3.21E-03,-1.13E-01,-3.78E-03
7.55E-03,4.50E-03,-1.12E-01,-2.87E-03
6.06E-03,3.91E-03,-1.10E-01,-1.85E-03
5.00E-03,2.22E-03,-1.09E-01,-2.21E-03
5.74E-03,1.77E-03,-1.11E-01,-3.31E-03
7.36E-03,3.20E-03,-1.13E-01,-3.78E-03
7.54E-03,4.51E-03,-1.12E-01,-2.86E-03
6.04E-03,3.92E-03,-1.10E-01,-1.83E-03
4.97E-03,2.21E-03,-1.09E-01,-2.20E-03
5.70E-03,1.75E-03,-1.11E-01,-3.30E-03
7.33E-03,3.18E-03,-1.13E-01,-3.78E-03
7.54E-03,4.50E-03,-1.12E-01,-2.87E-03
6.06E-03,3.92E-03,-1.10E-01,-1.84E-03
4.98E-03,2.21E-03,-1.09E-01,-2.20E-03
5.71E-03,1.74E-03,-1.11E-01,-3.31E-03
7.35E-03,3.18E-03,-1.13E-01,-3.79E-03
7.56E-03,4.50E-03,-1.12E-01,-2.88E-03
6.07E-03,3.94E-03,-1.10E-01,-1.85E-03
4.99E-03,2.22E-03,-1.09E-01,-2.20E-03
5.71E-03,1.75E-03,-1.11E-01,-3.30E-03
7.34E-03,3.17E-03,-1.13E-01,-3.79E-03
7.57E-03,4.50E-03,-1.12E-01,-2.89E-03
6.08E-03,3.94E-03,-1.10E-01,-1.85E-03
5.00E-03,2.23E-03,-1.09E-01,-2.20E-03
5.71E-03,1.75E-03,-1.11E-01,-3.30E-03
7.34E-03,3.16E-03,-1.13E-01,-3.80E-03
7.56E-03,4.50E-03,-1.12E-01,-2.90E-03
6.09E-03,3.95E-03,-1.10E-01,-1.85E-03
4.99E-03,2.23E-03,-1.09E-01,-2.20E-03
5.69E-03,1.74E-03,-1.11E-01,-3.30E-03
7.32E-03,3.15E-03,-1.13E-01,-3.80E-03
7.57E-03,4.49E-03,-1.12E-01,-2.90E-03
6.10E-03,3.95E-03,-1.10E-01,-1.85E-03
5.00E-03,2.23E-03,-1.09E-01,-2.19E-03
5.69E-03,1.74E-03,-1.11E-01,-3.29E-03
7.32E-03,3.14E-03,-1.13E-01,-3.80E-03
7.57E-03,4.49E-03,-1.12E-01,-2.91E-03
6.11E-03,3.96E-03,-1.10E-01,-1.85E-03
4.99E-03,2.23E-03,-1.09E-01,-2.18E-03
5.68E-03,1.72E-03,-1.11E-01,-3.29E-03
7.32E-03,3.13E-03,-1.13E-01,-3.80E-03
7.57E-03,4.49E-03,-1.12E-01,-2.91E-03
6.11E-03,3.97E-03,-1.10E-01,-1.85E-03
5.00E-03,2.24E-03,-1.09E-01,-2.18E-03
5.67E-03,1.73E-03,-1.11E-01,-3.28E-03
7.32E-03,3.12E-03,-1.13E-01,-3.80E-03
7.59E-03,4.49E-03,-1.12E-01,-2.91E-03
6.13E-03,3.97E-03,-1.10E-01,-1.85E-03
5.00E-03,2.24E-03,-1.09E-01,-2.17E-03
5.67E-03,1.73E-03,-1.11E-01,-3.27E-03
7.31E-03,3.11E-03,-1.13E-01,-3.80E-03
7.58E-03,4.48E-03,-1.12E-01,-2.92E-03
6.13E-03,3.97E-03,-1.10E-01,-1.85E-03
5.00E-03,2.24E-03,-1.09E-01,-2.17E-03
5.67E-03,1.73E-03,-1.11E-01,-3.27E-03
7.31E-03,3.11E-03,-1.13E-01,-3.81E-03
7.59E-03,4.47E-03,-1.12E-01,-2.91E-03
6.14E-03,3.98E-03,-1.10E-01,-1.83E-03
5.00E-03,2.26E-03,-1.09E-01,-2.15E-03
5.65E-03,1.72E-03,-1.11E-01,-3.24E-03
7.29E-03,3.10E-03,-1.13E-01,-3.78E-03
7.59E-03,4.48E-03,-1.12E-01,-2.91E-03
6.14E-03,3.99E-03,-1.10E-01,-1.84E-03
5.00E-03,2.25E-03,-1.09E-01,-2.14E-03
5.65E-03,1.71E-03,-1.11E-01,-3.24E-03
7.29E-03,3.08E-03,-1.13E-01,-3.79E-03
7.59E-03,4.47E-03,-1.12E-01,-2.92E-03
6.14E-03,3.98E-03,-1.10E-01,-1.84E-03
4.99E-03,2.26E-03,-1.09E-01,-2.14E-03
5.64E-03,1.71E-03,-1.11E-01,-3.23E-03
7.28E-03,3.07E-03,-1.13E-01,-3.79E-03
7.60E-03,4.46E-03,-1.12E-01,-2.93E-03
6.15E-03,3.99E-03,-1.10E-01,-1.84E-03
4.98E-03,2.27E-03,-1.09E-01,-2.13E-03
5.61E-03,1.70E-03,-1.11E-01,-3.23E-03
7.27E-03,3.05E-03,-1.13E-01,-3.79E-03
7.59E-03,4.46E-03,-1.12E-01,-2.93E-03
6.16E-03,4.00E-03,-1.10E-01,-1.85E-03
4.99E-03,2.27E-03,-1.09E-01,-2.13E-03
5.61E-03,1.70E-03,-1.11E-01,-3.23E-03
7.26E-03,3.04E-03,-1.13E-01,-3.80E-03
7.60E-03,4.45E-03,-1.12E-01,-2.94E-03
6.16E-03,4.01E-03,-1.10E-01,-1.85E-03
4.99E-03,2.28E-03,-1.09E-01,-2.13E-03
5.61E-03,1.70E-03,-1.11E-01,-3.22E-03
7.26E-03,3.03E-03,-1.13E-01,-3.80E-03
7.60E-03,4.45E-03,-1.12E-01,-2.94E-03
6.18E-03,4.02E-03,-1.10E-01,-1.85E-03
5.00E-03,2.29E-03,-1.09E-01,-2.12E-03
5.61E-03,1.70E-03,-1.11E-01,-3.21E-03
