CH1,CH2,CH3,CH4
-9.65E-03,-1.26E-02,6.09E-03,5.17E-03
-9.69E-03,-1.25E-02,5.36E-03,4.39E-03
-9.64E-03,-1.26E-02,4.52E-03,3.88E-03
-9.58E-03,-1.27E-02,4.64E-03,4.22E-03
-9.58E-03,-1.26E-02,5.56E-03,4.99E-03
-9.64E-03,-1.26E-02,6.09E-03,5.17E-03
-9.69E-03,-1.25E-02,5.36E-03,4.39E-03
-9.63E-03,-1.26E-02,4.52E-03,3.89E-03
-9.57E-03,-1.27E-02,4.64E-03,4.22E-03
-9.57E-03,-1.26E-02,5.56E-03,4.99E-03
-9.64E-03,-1.26E-02,6.09E-03,5.17E-03
-9.68E-03,-1.25E-02,5.37E-03,4.39E-03
-9.63E-03,-1.26E-02,4.53E-03,3.89E-03
-9.57E-03,-1.27E-02,4.64E-03,4.22E-03
-9.57E-03,-1.26E-02,5.56E-03,4.99E-03
-9.63E-03,-1.26E-02,6.09E-03,5.17E-03
-9.68E-03,-1.25E-02,5.37E-03,4.40E-03
-9.63E-03,-1.26E-02,4.53E-03,3.89E-03
-9.57E-03,-1.27E-02,4.64E-03,4.22E-03
-9.56E-03,-1.27E-02,5.56E-03,4.99E-03
-9.63E-03,-1.26E-02,6.09E-03,5.17E-03
-9.68E-03,-1.25E-02,5.37E-03,4.40E-03
-9.63E-03,-1.26E-02,4.53E-03,3.89E-03
-9.57E-03,-1.27E-02,4.64E-03,4.22E-03
-9.56E-03,-1.27E-02,5.55E-03,4.99E-03
-9.63E-03,-1.26E-02,6.09E-03,5.18E-03
-9.68E-03,-1.25E-02,5.37E-03,4.40E-03
-9.63E-03,-1.26E-02,4.53E-03,3.89E-03
-9.56E-03,-1.27E-02,4.64E-03,4.20E-03
-9.56E-03,-1.27E-02,5.54E-03,4.97E-03
-9.63E-03,-1.26E-02,6.08E-03,5.18E-03
-9.68E-03,-1.25E-02,5.36E-03,4.40E-03
-9.63E-03,-1.26E-02,4.52E-03,3.88E-03
-9.57E-03,-1.27E-02,4.63E-03,4.20E-03
-9.56E-03,-1.27E-02,5.54E-03,4.97E-03
-9.63E-03,-1.26E-02,6.08E-03,5.17E-03
-9.68E-03,-1.25E-02,5.37E-03,4.40E-03
-9.62E-03,-1.26E-02,4.52E-03,3.88E-03
-9.56E-03,-1.27E-02,4.62E-03,4.21E-03
-9.56E-03,-1.26E-02,5.53E-03,4.98E-03
-9.63E-03,-1.26E-02,6.08E-03,5.17E-03
-9.68E-03,-1.25E-02,5.36E-03,4.41E-03
-9.62E-03,-1.26E-02,4.52E-03,3.89E-03
-9.56E-03,-1.27E-02,4.62E-03,4.21E-03
-9.56E-03,-1.26E-02,5.52E-03,4.98E-03
-9.62E-03,-1.26E-02,6.07E-03,5.17E-03
-9.67E-03,-1.25E-02,5.36E-03,4.41E-03
-9.62E-03,-1.26E-02,4.52E-03,3.89E-03
-9.56E-03,-1.27E-02,4.61E-03,4.21E-03
-9.56E-03,-1.26E-02,5.52E-03,4.98E-03
-9.62E-03,-1.26E-02,6.07E-03,5.18E-03
-9.67E-03,-1.25E-02,5.36E-03,4.41E-03
-9.63E-03,-1.26E-02,4.52E-03,3.89E-03
-9.56E-03,-1.27E-02,4.61E-03,4.20E-03
-9.56E-03,-1.26E-02,5.51E-03,4.97E-03
-9.62E-03,-1.26E-02,6.07E-03,5.17E-03
-9.67E-03,-1.25E-02,5.37E-03,4.41E-03
-9.62E-03,-1.26E-02,4.52E-03,3.89E-03
