CH1,CH2,CH3,CH4,,,,,,,,,,,,,
-8.83E-03,-6.01E-03,5.29E-03,-8.68E-03,,,,,,,,,,,,,
-9.28E-03,-6.21E-03,4.99E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.36E-03,3.99E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.27E-03,3.68E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.40E-03,-8.77E-03,,,,,,,,,,,,,
-8.83E-03,-6.01E-03,5.30E-03,-8.68E-03,,,,,,,,,,,,,
-9.29E-03,-6.22E-03,5.00E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.36E-03,4.00E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.27E-03,3.68E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.06E-03,4.40E-03,-8.77E-03,,,,,,,,,,,,,
-8.82E-03,-6.00E-03,5.30E-03,-8.68E-03,,,,,,,,,,,,,
-9.29E-03,-6.21E-03,5.00E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.36E-03,4.00E-03,-1.16E-02,,,,,,,,,,,,,
-9.12E-03,-6.27E-03,3.69E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.06E-03,4.40E-03,-8.77E-03,,,,,,,,,,,,,
-8.82E-03,-6.01E-03,5.30E-03,-8.68E-03,,,,,,,,,,,,,
-9.28E-03,-6.21E-03,5.00E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.35E-03,4.00E-03,-1.16E-02,,,,,,,,,,,,,
-9.12E-03,-6.26E-03,3.68E-03,-1.06E-02,,,,,,,,,,,,,
-8.74E-03,-6.06E-03,4.39E-03,-8.77E-03,,,,,,,,,,,,,
-8.82E-03,-6.00E-03,5.29E-03,-8.67E-03,,,,,,,,,,,,,
-9.28E-03,-6.21E-03,5.00E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.35E-03,3.99E-03,-1.16E-02,,,,,,,,,,,,,
-9.12E-03,-6.27E-03,3.67E-03,-1.06E-02,,,,,,,,,,,,,
-8.74E-03,-6.06E-03,4.39E-03,-8.78E-03,,,,,,,,,,,,,
-8.82E-03,-6.00E-03,5.30E-03,-8.68E-03,,,,,,,,,,,,,
-9.27E-03,-6.20E-03,5.02E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.35E-03,4.02E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.69E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.42E-03,-8.75E-03,,,,,,,,,,,,,
-8.84E-03,-6.02E-03,5.33E-03,-8.65E-03,,,,,,,,,,,,,
-9.31E-03,-6.23E-03,5.04E-03,-1.06E-02,,,,,,,,,,,,,
-9.45E-03,-6.38E-03,4.05E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.29E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.78E-03,-6.09E-03,4.44E-03,-8.76E-03,,,,,,,,,,,,,
-8.85E-03,-6.03E-03,5.34E-03,-8.66E-03,,,,,,,,,,,,,
-9.31E-03,-6.24E-03,5.04E-03,-1.06E-02,,,,,,,,,,,,,
