CH1,CH2,CH3,CH4
-3.07E-03,-7.35E-03,3.11E-03,4.29E-03
-3.07E-03,-7.36E-03,3.11E-03,4.29E-03
-3.06E-03,-7.35E-03,3.11E-03,4.29E-03
-3.05E-03,-7.35E-03,3.10E-03,4.29E-03
-3.06E-03,-7.35E-03,3.10E-03,4.29E-03
-3.07E-03,-7.36E-03,3.10E-03,4.29E-03
-3.07E-03,-7.36E-03,3.11E-03,4.29E-03
-3.06E-03,-7.36E-03,3.11E-03,4.29E-03
-3.05E-03,-7.36E-03,3.10E-03,4.29E-03
-3.06E-03,-7.36E-03,3.10E-03,4.29E-03
-3.07E-03,-7.37E-03,3.10E-03,4.29E-03
-3.07E-03,-7.37E-03,3.11E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.07E-03,-7.37E-03,3.10E-03,4.29E-03
-3.07E-03,-7.37E-03,3.10E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.06E-03,-7.37E-03,3.10E-03,4.29E-03
-3.07E-03,-7.38E-03,3.10E-03,4.28E-03
-3.07E-03,-7.38E-03,3.10E-03,4.28E-03
-3.06E-03,-7.38E-03,3.10E-03,4.29E-03
-3.05E-03,-7.38E-03,3.10E-03,4.29E-03
-3.06E-03,-7.38E-03,3.10E-03,4.28E-03
-3.07E-03,-7.38E-03,3.10E-03,4.28E-03
-3.07E-03,-7.39E-03,3.10E-03,4.28E-03
-3.06E-03,-7.38E-03,3.10E-03,4.28E-03
-3.05E-03,-7.38E-03,3.09E-03,4.28E-03
-3.06E-03,-7.38E-03,3.09E-03,4.28E-03
-3.07E-03,-7.39E-03,3.10E-03,4.28E-03
-3.07E-03,-7.39E-03,3.10E-03,4.28E-03
-3.05E-03,-7.39E-03,3.10E-03,4.28E-03
-3.05E-03,-7.39E-03,3.09E-03,4.28E-03
-3.05E-03,-7.39E-03,3.09E-03,4.28E-03
-3.06E-03,-7.40E-03,3.09E-03,4.28E-03
-3.06E-03,-7.40E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.06E-03,-7.40E-03,3.09E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.05E-03,-7.40E-03,3.09E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.05E-03,-7.41E-03,3.09E-03,4.28E-03
-3.05E-03,-7.41E-03,3.09E-03,4.28E-03
-3.05E-03,-7.41E-03,3.09E-03,4.28E-03
-3.07E-03,-7.41E-03,3.09E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.05E-03,-7.41E-03,3.09E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.06E-03,-7.42E-03,3.10E-03,4.28E-03
-3.05E-03,-7.41E-03,3.09E-03,4.28E-03
-3.06E-03,-7.41E-03,3.09E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.06E-03,-7.42E-03,3.10E-03,4.28E-03
-3.05E-03,-7.41E-03,3.10E-03,4.28E-03
-3.06E-03,-7.41E-03,3.10E-03,4.28E-03
-3.07E-03,-7.41E-03,3.10E-03,4.28E-03
-3.07E-03,-7.42E-03,3.10E-03,4.28E-03
-3.06E-03,-7.41E-03,3.10E-03,4.28E-03
-3.06E-03,-7.41E-03,3.10E-03,4.28E-03
-3.06E-03,-7.41E-03,3.10E-03,4.28E-03
-3.08E-03,-7.41E-03,3.10E-03,4.28E-03
-3.08E-03,-7.41E-03,3.11E-03,4.28E-03
-3.07E-03,-7.41E-03,3.11E-03,4.28E-03
-3.06E-03,-7.40E-03,3.10E-03,4.28E-03
-3.07E-03,-7.40E-03,3.10E-03,4.28E-03
-3.08E-03,-7.40E-03,3.11E-03,4.28E-03
-3.08E-03,-7.40E-03,3.11E-03,4.28E-03
-3.08E-03,-7.40E-03,3.11E-03,4.28E-03
-3.07E-03,-7.40E-03,3.11E-03,4.28E-03
-3.08E-03,-7.39E-03,3.11E-03,4.28E-03
-3.09E-03,-7.39E-03,3.11E-03,4.28E-03
-3.10E-03,-7.39E-03,3.12E-03,4.28E-03
-3.09E-03,-7.39E-03,3.12E-03,4.28E-03
-3.08E-03,-7.38E-03,3.11E-03,4.28E-03
-3.09E-03,-7.38E-03,3.11E-03,4.28E-03
-3.11E-03,-7.38E-03,3.12E-03,4.28E-03
-3.11E-03,-7.38E-03,3.12E-03,4.28E-03
-3.10E-03,-7.37E-03,3.12E-03,4.28E-03
-3.10E-03,-7.36E-03,3.12E-03,4.28E-03
-3.11E-03,-7.36E-03,3.12E-03,4.28E-03
-3.12E-03,-7.36E-03,3.13E-03,4.28E-03
-3.12E-03,-7.35E-03,3.13E-03,4.28E-03
-3.11E-03,-7.34E-03,3.13E-03,4.28E-03
-3.11E-03,-7.34E-03,3.13E-03,4.28E-03
-3.12E-03,-7.33E-03,3.13E-03,4.28E-03
-3.13E-03,-7.32E-03,3.14E-03,4.28E-03
-3.13E-03,-7.32E-03,3.14E-03,4.28E-03
-3.13E-03,-7.31E-03,3.14E-03,4.28E-03
-3.13E-03,-7.30E-03,3.14E-03,4.28E-03
-3.14E-03,-7.29E-03,3.15E-03,4.28E-03
-3.15E-03,-7.28E-03,3.15E-03,4.28E-03
-3.15E-03,-7.26E-03,3.16E-03,4.29E-03
-3.15E-03,-7.25E-03,3.16E-03,4.29E-03
-3.14E-03,-7.24E-03,3.16E-03,4.29E-03
-3.15E-03,-7.23E-03,3.16E-03,4.29E-03
-3.17E-03,-7.21E-03,3.17E-03,4.29E-03
-3.17E-03,-7.20E-03,3.17E-03,4.29E-03
-3.16E-03,-7.18E-03,3.18E-03,4.29E-03
-3.16E-03,-7.17E-03,3.18E-03,4.29E-03
-3.17E-03,-7.15E-03,3.18E-03,4.29E-03
-3.18E-03,-7.13E-03,3.19E-03,4.29E-03
-3.19E-03,-7.11E-03,3.19E-03,4.29E-03
-3.18E-03,-7.10E-03,3.19E-03,4.30E-03
-3.18E-03,-7.08E-03,3.19E-03,4.30E-03
-3.19E-03,-7.06E-03,3.20E-03,4.30E-03
-3.20E-03,-7.04E-03,3.20E-03,4.30E-03
-3.20E-03,-7.02E-03,3.21E-03,4.30E-03
-3.19E-03,-7.00E-03,3.21E-03,4.30E-03
-3.19E-03,-6.99E-03,3.21E-03,4.30E-03
-3.20E-03,-6.97E-03,3.21E-03,4.30E-03
-3.21E-03,-6.94E-03,3.22E-03,4.30E-03
-3.21E-03,-6.92E-03,3.22E-03,4.30E-03
-3.20E-03,-6.90E-03,3.23E-03,4.30E-03
-3.20E-03,-6.89E-03,3.23E-03,4.30E-03
-3.20E-03,-6.87E-03,3.23E-03,4.30E-03
-3.21E-03,-6.85E-03,3.23E-03,4.30E-03
-3.21E-03,-6.83E-03,3.24E-03,4.31E-03
-3.21E-03,-6.81E-03,3.24E-03,4.31E-03
-3.20E-03,-6.80E-03,3.24E-03,4.31E-03
-3.21E-03,-6.78E-03,3.25E-03,4.31E-03
-3.22E-03,-6.76E-03,3.25E-03,4.31E-03
-3.22E-03,-6.74E-03,3.25E-03,4.31E-03
-3.21E-03,-6.73E-03,3.26E-03,4.31E-03
-3.20E-03,-6.72E-03,3.26E-03,4.31E-03
-3.20E-03,-6.71E-03,3.26E-03,4.31E-03
-3.21E-03,-6.70E-03,3.26E-03,4.31E-03
-3.20E-03,-6.69E-03,3.26E-03,4.31E-03
-3.19E-03,-6.69E-03,3.26E-03,4.32E-03
-3.18E-03,-6.69E-03,3.26E-03,4.32E-03
-3.18E-03,-6.69E-03,3.26E-03,4.32E-03
-3.18E-03,-6.69E-03,3.26E-03,4.32E-03
-3.17E-03,-6.70E-03,3.26E-03,4.32E-03
-3.15E-03,-6.71E-03,3.25E-03,4.32E-03
-3.13E-03,-6.72E-03,3.24E-03,4.33E-03
-3.12E-03,-6.74E-03,3.24E-03,4.33E-03
-3.12E-03,-6.76E-03,3.24E-03,4.33E-03
-3.11E-03,-6.78E-03,3.23E-03,4.33E-03
-3.09E-03,-6.80E-03,3.23E-03,4.33E-03
-3.08E-03,-6.82E-03,3.22E-03,4.33E-03
-3.08E-03,-6.85E-03,3.21E-03,4.33E-03
-3.08E-03,-6.87E-03,3.21E-03,4.33E-03
-3.08E-03,-6.89E-03,3.21E-03,4.32E-03
-3.07E-03,-6.92E-03,3.20E-03,4.32E-03
-3.06E-03,-6.94E-03,3.19E-03,4.32E-03
-3.07E-03,-6.95E-03,3.19E-03,4.32E-03
-3.08E-03,-6.97E-03,3.19E-03,4.32E-03
-3.09E-03,-6.98E-03,3.19E-03,4.32E-03
-3.08E-03,-6.99E-03,3.19E-03,4.31E-03
-3.08E-03,-7.00E-03,3.19E-03,4.31E-03
-3.10E-03,-7.01E-03,3.19E-03,4.31E-03
-3.11E-03,-7.00E-03,3.20E-03,4.31E-03
-3.12E-03,-7.00E-03,3.20E-03,4.30E-03
-3.12E-03,-7.00E-03,3.20E-03,4.30E-03
-3.13E-03,-7.00E-03,3.20E-03,4.30E-03
-3.14E-03,-6.99E-03,3.21E-03,4.30E-03
-3.16E-03,-6.97E-03,3.22E-03,4.29E-03
-3.16E-03,-6.96E-03,3.22E-03,4.29E-03
-3.16E-03,-6.95E-03,3.23E-03,4.29E-03
-3.16E-03,-6.95E-03,3.23E-03,4.29E-03
-3.17E-03,-6.93E-03,3.24E-03,4.29E-03
-3.18E-03,-6.92E-03,3.24E-03,4.28E-03
-3.18E-03,-6.90E-03,3.25E-03,4.28E-03
-3.17E-03,-6.89E-03,3.25E-03,4.28E-03
-3.17E-03,-6.89E-03,3.25E-03,4.28E-03
-3.17E-03,-6.88E-03,3.26E-03,4.28E-03
-3.18E-03,-6.86E-03,3.26E-03,4.28E-03
-3.18E-03,-6.85E-03,3.27E-03,4.28E-03
-3.17E-03,-6.84E-03,3.27E-03,4.28E-03
-3.16E-03,-6.84E-03,3.26E-03,4.28E-03
-3.16E-03,-6.84E-03,3.27E-03,4.28E-03
-3.17E-03,-6.83E-03,3.27E-03,4.28E-03
-3.16E-03,-6.83E-03,3.27E-03,4.28E-03
-3.15E-03,-6.83E-03,3.27E-03,4.28E-03
-3.14E-03,-6.83E-03,3.26E-03,4.28E-03
-3.13E-03,-6.84E-03,3.26E-03,4.28E-03
-3.13E-03,-6.84E-03,3.26E-03,4.28E-03
-3.12E-03,-6.85E-03,3.26E-03,4.28E-03
-3.10E-03,-6.87E-03,3.25E-03,4.29E-03
-3.09E-03,-6.88E-03,3.24E-03,4.29E-03
-3.08E-03,-6.90E-03,3.24E-03,4.29E-03
-3.08E-03,-6.92E-03,3.23E-03,4.29E-03
-3.06E-03,-6.94E-03,3.23E-03,4.29E-03
-3.04E-03,-6.96E-03,3.22E-03,4.29E-03
-3.02E-03,-6.98E-03,3.21E-03,4.29E-03
-3.01E-03,-7.01E-03,3.20E-03,4.30E-03
-3.00E-03,-7.04E-03,3.19E-03,4.30E-03
-2.98E-03,-7.06E-03,3.18E-03,4.30E-03
-2.96E-03,-7.08E-03,3.17E-03,4.30E-03
-2.93E-03,-7.10E-03,3.16E-03,4.30E-03
-2.92E-03,-7.13E-03,3.14E-03,4.30E-03
-2.91E-03,-7.15E-03,3.14E-03,4.30E-03
-2.89E-03,-7.17E-03,3.13E-03,4.30E-03
-2.87E-03,-7.18E-03,3.11E-03,4.30E-03
-2.84E-03,-7.20E-03,3.09E-03,4.30E-03
-2.83E-03,-7.21E-03,3.08E-03,4.30E-03
-2.81E-03,-7.23E-03,3.07E-03,4.30E-03
-2.79E-03,-7.24E-03,3.05E-03,4.30E-03
-2.76E-03,-7.25E-03,3.04E-03,4.30E-03
-2.74E-03,-7.26E-03,3.02E-03,4.30E-03
-2.72E-03,-7.27E-03,3.00E-03,4.30E-03
