CH1,CH2,CH3,CH4
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.86E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.93E-03,1.16E-01,-1.27E-01
-6.99E-03,5.98E-03,1.15E-01,-1.27E-01
-6.87E-03,5.96E-03,1.15E-01,-1.27E-01
-7.33E-03,5.90E-03,1.16E-01,-1.28E-01
-7.67E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.98E-03,1.15E-01,-1.27E-01
-6.86E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.93E-03,1.16E-01,-1.27E-01
-6.98E-03,5.98E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.90E-03,1.16E-01,-1.28E-01
-7.67E-03,5.89E-03,1.16E-01,-1.27E-01
-7.47E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.98E-03,1.15E-01,-1.27E-01
-6.88E-03,5.96E-03,1.15E-01,-1.27E-01
-7.34E-03,5.90E-03,1.16E-01,-1.28E-01
-7.67E-03,5.88E-03,1.16E-01,-1.27E-01
-7.47E-03,5.93E-03,1.16E-01,-1.27E-01
-6.99E-03,5.98E-03,1.15E-01,-1.27E-01
-6.88E-03,5.96E-03,1.15E-01,-1.27E-01
-7.33E-03,5.90E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.93E-03,1.16E-01,-1.27E-01
-6.99E-03,5.98E-03,1.15E-01,-1.27E-01
-6.88E-03,5.96E-03,1.15E-01,-1.27E-01
-7.34E-03,5.90E-03,1.16E-01,-1.28E-01
-7.67E-03,5.89E-03,1.16E-01,-1.27E-01
-7.47E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.88E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.91E-03,1.16E-01,-1.28E-01
-7.67E-03,5.89E-03,1.16E-01,-1.27E-01
-7.47E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.88E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.88E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.87E-03,5.98E-03,1.15E-01,-1.27E-01
-7.32E-03,5.92E-03,1.16E-01,-1.28E-01
-7.65E-03,5.91E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.99E-03,6.00E-03,1.15E-01,-1.27E-01
-6.87E-03,5.98E-03,1.15E-01,-1.27E-01
-7.32E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.90E-03,1.16E-01,-1.27E-01
-7.45E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.32E-03,5.92E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.87E-03,5.98E-03,1.15E-01,-1.27E-01
-7.33E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.90E-03,1.16E-01,-1.27E-01
-7.47E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.88E-03,5.97E-03,1.15E-01,-1.27E-01
-7.33E-03,5.91E-03,1.16E-01,-1.28E-01
-7.67E-03,5.89E-03,1.16E-01,-1.27E-01
-7.47E-03,5.94E-03,1.16E-01,-1.27E-01
-6.99E-03,5.99E-03,1.15E-01,-1.27E-01
-6.87E-03,5.97E-03,1.15E-01,-1.27E-01
-7.32E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.89E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.66E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.86E-03,5.97E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.94E-03,1.16E-01,-1.27E-01
-6.98E-03,5.99E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.86E-03,5.98E-03,1.15E-01,-1.27E-01
-7.31E-03,5.91E-03,1.16E-01,-1.28E-01
-7.65E-03,5.90E-03,1.16E-01,-1.27E-01
-7.46E-03,5.95E-03,1.16E-01,-1.27E-01
-6.98E-03,6.00E-03,1.15E-01,-1.27E-01
-6.85E-03,5.98E-03,1.15E-01,-1.27E-01
