CH1,CH2,CH3,CH4
-1.11E-02,5.06E-03,1.17E-01,-1.32E-01
-1.08E-02,5.14E-03,1.16E-01,-1.31E-01
-1.04E-02,5.21E-03,1.16E-01,-1.31E-01
-1.04E-02,5.15E-03,1.16E-01,-1.32E-01
-1.08E-02,5.06E-03,1.17E-01,-1.32E-01
-1.11E-02,5.06E-03,1.17E-01,-1.32E-01
-1.08E-02,5.15E-03,1.16E-01,-1.31E-01
-1.04E-02,5.20E-03,1.16E-01,-1.31E-01
-1.04E-02,5.15E-03,1.16E-01,-1.32E-01
-1.08E-02,5.06E-03,1.17E-01,-1.32E-01
-1.11E-02,5.06E-03,1.17E-01,-1.32E-01
-1.08E-02,5.15E-03,1.16E-01,-1.31E-01
-1.04E-02,5.21E-03,1.16E-01,-1.31E-01
-1.04E-02,5.16E-03,1.16E-01,-1.32E-01
-1.08E-02,5.06E-03,1.17E-01,-1.32E-01
-1.11E-02,5.07E-03,1.17E-01,-1.32E-01
-1.08E-02,5.16E-03,1.16E-01,-1.31E-01
-1.04E-02,5.21E-03,1.16E-01,-1.31E-01
-1.04E-02,5.16E-03,1.16E-01,-1.32E-01
-1.08E-02,5.08E-03,1.17E-01,-1.32E-01
-1.11E-02,5.08E-03,1.17E-01,-1.32E-01
-1.08E-02,5.18E-03,1.16E-01,-1.31E-01
-1.04E-02,5.24E-03,1.16E-01,-1.31E-01
-1.04E-02,5.19E-03,1.16E-01,-1.31E-01
-1.08E-02,5.10E-03,1.17E-01,-1.32E-01
-1.10E-02,5.11E-03,1.17E-01,-1.31E-01
-1.08E-02,5.21E-03,1.16E-01,-1.31E-01
-1.03E-02,5.27E-03,1.16E-01,-1.31E-01
-1.04E-02,5.22E-03,1.16E-01,-1.31E-01
-1.08E-02,5.13E-03,1.17E-01,-1.31E-01
-1.10E-02,5.14E-03,1.17E-01,-1.31E-01
-1.08E-02,5.23E-03,1.17E-01,-1.31E-01
