CH1,CH2,CH3,CH4
-1.14E-02,4.72E-03,1.14E-01,-1.31E-01
-1.20E-02,4.62E-03,1.15E-01,-1.31E-01
-1.22E-02,4.64E-03,1.15E-01,-1.31E-01
-1.18E-02,4.74E-03,1.14E-01,-1.31E-01
-1.13E-02,4.80E-03,1.14E-01,-1.31E-01
-1.14E-02,4.73E-03,1.14E-01,-1.31E-01
-1.20E-02,4.62E-03,1.15E-01,-1.31E-01
-1.22E-02,4.64E-03,1.15E-01,-1.31E-01
-1.18E-02,4.75E-03,1.14E-01,-1.31E-01
-1.13E-02,4.81E-03,1.14E-01,-1.31E-01
-1.14E-02,4.73E-03,1.14E-01,-1.31E-01
-1.20E-02,4.63E-03,1.15E-01,-1.31E-01
-1.22E-02,4.64E-03,1.15E-01,-1.31E-01
-1.18E-02,4.75E-03,1.14E-01,-1.31E-01
-1.13E-02,4.81E-03,1.14E-01,-1.31E-01
-1.14E-02,4.73E-03,1.14E-01,-1.31E-01
-1.20E-02,4.63E-03,1.15E-01,-1.31E-01
-1.22E-02,4.65E-03,1.15E-01,-1.31E-01
-1.18E-02,4.75E-03,1.14E-01,-1.31E-01
-1.13E-02,4.82E-03,1.14E-01,-1.31E-01
-1.14E-02,4.75E-03,1.14E-01,-1.31E-01
-1.20E-02,4.64E-03,1.15E-01,-1.31E-01
-1.22E-02,4.67E-03,1.15E-01,-1.31E-01
-1.18E-02,4.79E-03,1.14E-01,-1.31E-01
-1.13E-02,4.86E-03,1.14E-01,-1.31E-01
-1.14E-02,4.79E-03,1.14E-01,-1.31E-01
-1.20E-02,4.69E-03,1.15E-01,-1.31E-01
-1.22E-02,4.71E-03,1.15E-01,-1.31E-01
-1.18E-02,4.82E-03,1.14E-01,-1.31E-01
-1.13E-02,4.89E-03,1.14E-01,-1.31E-01
-1.14E-02,4.82E-03,1.14E-01,-1.31E-01
-1.20E-02,4.71E-03,1.15E-01,-1.31E-01
-1.22E-02,4.73E-03,1.15E-01,-1.31E-01
-1.18E-02,4.84E-03,1.14E-01,-1.31E-01
-1.13E-02,4.90E-03,1.14E-01,-1.31E-01
-1.14E-02,4.82E-03,1.14E-01,-1.31E-01
-1.20E-02,4.71E-03,1.15E-01,-1.31E-01
-1.22E-02,4.74E-03,1.15E-01,-1.31E-01
-1.18E-02,4.84E-03,1.14E-01,-1.31E-01
-1.13E-02,4.90E-03,1.14E-01,-1.31E-01
