vr,vl,hr,hl,dv,dh,pos_x,pos_y
-0.30097052362450194,-0.29147392069565153,-0.2603715806685912,0.37930331520222005,-0.00949660177242687,-0.6396748943725826,0.0,0.0
-0.300711376930094,-0.29121273445130613,-0.2599163672402089,0.37848529581973017,-0.009498641323165066,-0.6384016615604196,0.0,0.0
-0.30036593755477115,-0.2908378210122258,-0.2594879492341055,0.3777497353422747,-0.00952811538772597,-0.6372376830755723,0.0,0.0
-0.29992044509187743,-0.29033256496633164,-0.2590884185175685,0.37710817791624335,-0.00958787897153264,-0.6361965949317178,0.0,0.0
-0.29936091894755046,-0.28967999086502433,-0.2587195762510563,0.37657280250889974,-0.009680926929322434,-0.6352923772565777,0.0,0.0
-0.2986730938818051,-0.28886275402242506,-0.2583827606720544,0.3761559290281579,-0.009810338706988747,-0.6345386881955517,0.0,0.0
-0.29784256496381556,-0.2878634312457771,-0.258078628606645,0.3758696674603288,-0.009979132566462524,-0.6339482945610324,0.0,0.0
-0.2968551974645116,-0.2866650160287803,-0.2578072066582925,0.3757259267788432,-0.010190180284973614,-0.6335331319299159,0.0,0.0
-0.29569751840481534,-0.28525127359617625,-0.2575681703395039,0.3757364781307465,-0.010446243658702337,-0.6333046469617547,0.0,0.0
-0.2943568584538225,-0.2836068355786317,-0.2573610056788603,0.37591267240082404,-0.010750021726077821,-0.6332736765699152,0.0,0.0
-0.29282138219905557,-0.28171730111961846,-0.25718487695500103,0.37626487636374983,-0.011104079931150881,-0.6334497518077098,0.0,0.0
-0.2910803200670138,-0.279569624622761,-0.2570384319432597,0.37680207162503615,-0.011510694296796662,-0.6338405020559845,0.0,0.0
-0.2891244532439595,-0.2771526921427904,-0.2569198598742001,0.37753183117272954,-0.01197175995454668,-0.6344516895333501,0.0,0.0
-0.2869465645276555,-0.2744577408348789,-0.2568271621519997,0.378460366656734,-0.012488822546991157,-0.6352875272938874,0.0,0.0
-0.28454161912493015,-0.2714784999704682,-0.2567582932887821,0.37959224784925283,-0.013063118009516924,-0.636350539621924,0.0,0.0
-0.28190680765030957,-0.2682113155038724,-0.25671099884189214,0.38092986162741116,-0.013695491002335542,-0.63764085895193,0.0,0.0
-0.27904175928188674,-0.2646555300640206,-0.256682586002521,0.382473058298838,-0.014386228074610857,-0.6391556427827252,0.0,0.0
-0.27594897200816143,-0.26081401183252084,-0.2566699474187625,0.3842192035418023,-0.015134959033234648,-0.6408891494406724,0.0,0.0
-0.2726341674839378,-0.2566934798857402,-0.25666980364755193,0.38616333105891554,-0.015940686456644083,-0.6428331331853187,0.0,0.0
-0.2691063281422168,-0.25230449895830853,-0.25667882676478676,0.3882979966108176,-0.01680182804321035,-0.6449768218532008,0.0,0.0
-0.26537754477033454,-0.24766140116944557,-0.2566934753320143,0.3906128981236704,-0.01771614246105026,-0.6473063719320282,0.0,0.0
-0.2614629823387788,-0.24278240307866616,-0.2567097748848907,0.393094707987606,-0.018680578121137003,-0.6498044813475894,0.0,0.0
-0.25738101327560864,-0.237689807622953,-0.25672336021851,0.3957273388074396,-0.019691204514547006,-0.652450697499793,0.0,0.0
-0.253153229803092,-0.23240993544212757,-0.25672974579535585,0.39849234786923554,-0.020743293223726277,-0.6552220921371872,0.0,0.0
-0.24880410048949214,-0.22697266246874204,-0.2567244932012753,0.4013690909994008,-0.021831436884386112,-0.658093582672026,0.0,0.0
-0.2443604112764074,-0.22141083581509213,-0.2567031080208862,0.4043346857583971,-0.022949574325829385,-0.661037792249389,0.0,0.0
-0.23985081456891272,-0.2157598577236438,-0.256660895476353,0.4073642089378171,-0.024090955710665104,-0.6640251028830331,0.0,0.0
-0.23530555411050208,-0.21005735294501482,-0.25659308412633114,0.4104313231001781,-0.025248200031769894,-0.6670244056941311,0.0,0.0
-0.2307560981451951,-0.20434259598285803,-0.2564951741202937,0.41350900927759143,-0.026413501029510785,-0.6700041818642678,0.0,0.0
-0.22623446716113005,-0.19865560899408302,-0.2563631655565955,0.4165699892194288,-0.027578857035116686,-0.6729331532411695,0.0,0.0
-0.22177241404301046,-0.19303622780866325,-0.25619348907660705,0.4195868823729806,-0.028736185103317734,-0.6757803699134972,0.0,0.0
-0.21740079295940545,-0.18752343909643276,-0.2559828650877,0.4225325228342701,-0.02987735273284925,-0.678515386384646,0.0,0.0
-0.21314919415400801,-0.18215491172017056,-0.2557284029450255,0.4253806352030739,-0.03099428130462542,-0.681109036609544,0.0,0.0
-0.2090455826718447,-0.176966406440826,-0.25542790084185313,0.4281065504484108,-0.03207917510272344,-0.6835344497504797,0.0,0.0
-0.2051157265646824,-0.17199097881480546,-0.2550800063634265,0.43068755211551246,-0.03312474662250413,-0.6857675569379285,0.0,0.0
-0.20138256558697715,-0.16725826517624598,-0.2546840639415395,0.43310290636808946,-0.03412429928428632,-0.6877869687673945,0.0,0.0
-0.19786584510480454,-0.16279413458886383,-0.2542398812590544,0.43533400794317967,-0.0350717093904295,-0.689573887658779,0.0,0.0
-0.19458207661753102,-0.15862060571455294,-0.2537477336136762,0.4373648463407956,-0.03596146977840654,-0.6911125784097991,0.0,0.0
-0.1915445455379277,-0.15475569380031662,-0.253208575321059,0.4391824776331238,-0.036788850613985,-0.6923910514082956,0.0,0.0
-0.18876313574532044,-0.15121308943739298,-0.2526241254916078,0.4407770963757158,-0.03755004518525264,-0.6934012203202248,0.0,0.0
-0.18624410719828782,-0.1480019454390078,-0.2519966583229627,0.44214176676092265,-0.038242160637561945,-0.6941384235355781,0.0,0.0
